GS.WDT.2008183000000.BHE[115335, 117675]
XX.MXI.2008187000000.BHZ[244055, 245765]
XX.MXI.2008187000000.BHZ[274120, 276160]
XX.MXI.2008187000000.BHZ[331770, 333030]
XX.MXI.2008187000000.BHZ[837700, 842950]
XX.MXI.2008187000000.BHZ[845300, 849770]
XX.MXI.2008187000000.BHZ[860170, 861700]
XX.MXI.2008187000000.BHZ[866435, 869495]
XX.MXI.2008187000000.BHZ[937275, 938505]
XX.MXI.2008187000000.BHZ[944980, 948910]
XX.MXI.2008187000000.BHZ[2617665, 2618985]
XX.MXI.2008187000000.BHZ[2682490, 2683810]
XX.MXI.2008187000000.BHZ[2983575, 2984985]
XX.MXI.2008187000000.BHZ[3404145, 3405735]
XX.MXI.2008187000000.BHZ[6510730, 6512290]
XX.MXI.2008187000000.BHZ[6730085, 6731885]
XX.MXI.2008187000000.BHZ[7069530, 7071450]
XX.MXI.2008187000000.BHZ[7375410, 7376970]
XX.MXI.2008187000000.BHZ[7545310, 7546630]
XX.MXI.2008187000000.BHZ[7686295, 7688575]
XX.JJS.2008196000000.BHE[1466720, 1468400]
XX.JJS.2008196000000.BHE[1484895, 1486155]
XX.JJS.2008196000000.BHE[1593370, 1598440]
XX.JJS.2008196000000.BHE[2037735, 2039055]
XX.JJS.2008196000000.BHE[2580665, 2582465]
XX.JJS.2008196000000.BHE[2975380, 2977270]
XX.JJS.2008196000000.BHE[3101985, 3104115]
XX.JJS.2008196000000.BHE[3154135, 3160975]
XX.JJS.2008196000000.BHE[6859685, 6861305]
XX.JJS.2008196000000.BHE[7007620, 7010530]
XX.JJS.2008203000000.BHN[467035, 468415]
XX.JJS.2008203000000.BHN[1272090, 1273590]
XX.JJS.2008203000000.BHN[2399225, 2401505]
XX.JJS.2008203000000.BHN[6412275, 6413685]
XX.JJS.2008203000000.BHN[7840685, 7844855]
XX.JJS.2008209000000.BHZ[1388690, 1392110]
XX.JJS.2008209000000.BHZ[1951730, 1954250]
XX.JJS.2008209000000.BHZ[2543460, 2545170]
XX.JJS.2008209000000.BHZ[3739060, 3740920]
XX.JJS.2008209000000.BHZ[6033700, 6036190]
XX.JMG.2008189000000.BHN[771185, 773105]
XX.JMG.2008189000000.BHN[1270255, 1271455]
XX.JMG.2008189000000.BHN[2320765, 2323705]
XX.JMG.2008189000000.BHN[2479140, 2481990]
XX.JMG.2008189000000.BHN[3112170, 3114120]
XX.JMG.2008189000000.BHN[4407540, 4411950]
XX.JMG.2008189000000.BHN[4753185, 4755435]
XX.JMG.2008189000000.BHN[5272535, 5275625]
XX.JMG.2008189000000.BHN[5665120, 5666890]
XX.JMG.2008189000000.BHN[8167460, 8171030]
XX.MXI.2008194000000.BHZ[1884525, 1887015]
XX.MXI.2008194000000.BHZ[2485545, 2489445]
XX.MXI.2008194000000.BHZ[2928495, 2929755]
XX.MXI.2008194000000.BHZ[3178570, 3181000]
XX.MXI.2008194000000.BHZ[3190045, 3192025]
XX.MXI.2008194000000.BHZ[3352800, 3355770]
XX.MXI.2008194000000.BHZ[4045050, 4046910]
XX.MXI.2008194000000.BHZ[4051815, 4056885]
XX.MXI.2008194000000.BHZ[4094955, 4096875]
XX.MXI.2008194000000.BHZ[4214080, 4216150]
XX.MXI.2008194000000.BHZ[4222435, 4224205]
XX.MXI.2008194000000.BHZ[4280910, 4282290]
XX.MXI.2008194000000.BHZ[4305670, 4308130]
XX.MXI.2008194000000.BHZ[5076130, 5077900]
XX.MXI.2008194000000.BHZ[5725870, 5727910]
XX.MXI.2008194000000.BHZ[5816285, 5817755]
XX.MXI.2008194000000.BHZ[5997135, 5999775]
XX.MXI.2008194000000.BHZ[6290980, 6293440]
XX.MXI.2008194000000.BHZ[6685435, 6690595]
XX.MXI.2008194000000.BHZ[6701640, 6703470]
XX.MXI.2008194000000.BHZ[7072575, 7075995]
XX.MXI.2008194000000.BHZ[7575160, 7578370]
XX.MXI.2008194000000.BHZ[7794650, 7796270]
XX.MXI.2008194000000.BHZ[7928125, 7929445]
XX.MXI.2008194000000.BHZ[8090440, 8091970]
XX.MXI.2008194000000.BHZ[8634095, 8635955]
XX.JMG.2008203000000.BHZ[334065, 335805]
XX.JMG.2008203000000.BHZ[482830, 488590]
XX.JMG.2008203000000.BHZ[1842355, 1845295]
XX.JMG.2008203000000.BHZ[2112595, 2115955]
XX.JMG.2008203000000.BHZ[2155885, 2157685]
XX.JMG.2008203000000.BHZ[2961445, 2963455]
XX.JMG.2008203000000.BHZ[3147170, 3149870]
XX.JMG.2008203000000.BHZ[3157615, 3161275]
XX.JMG.2008203000000.BHZ[5192915, 5195735]
XX.JMG.2008203000000.BHZ[6740020, 6743050]
XX.JMG.2008203000000.BHZ[6776255, 6779495]
XX.HSH.2008189000000.BHN[140485, 141895]
XX.HSH.2008189000000.BHN[227015, 231425]
XX.HSH.2008189000000.BHN[503380, 508420]
XX.HSH.2008189000000.BHN[520915, 525475]
XX.HSH.2008189000000.BHN[821270, 825680]
XX.HSH.2008189000000.BHN[2618560, 2625970]
XX.HSH.2008189000000.BHN[2756820, 2759520]
XX.HSH.2008189000000.BHN[2761805, 2763485]
XX.HSH.2008189000000.BHN[3077050, 3080860]
XX.HSH.2008189000000.BHN[3634880, 3638750]
XX.HSH.2008189000000.BHN[3866395, 3873055]
XX.HSH.2008189000000.BHN[3947200, 3950560]
XX.MXI.2008208000000.BHE[135345, 137325]
XX.MXI.2008208000000.BHE[701940, 704640]
XX.MXI.2008208000000.BHE[1075945, 1077565]
XX.MXI.2008208000000.BHE[1077255, 1079355]
XX.MXI.2008208000000.BHE[1147130, 1148450]
XX.MXI.2008208000000.BHE[1154820, 1157490]
XX.MXI.2008208000000.BHE[1181410, 1183030]
XX.MXI.2008208000000.BHE[1216635, 1218165]
XX.MXI.2008208000000.BHE[1252465, 1254805]
XX.MXI.2008208000000.BHE[1417045, 1418395]
XX.MXI.2008208000000.BHE[1440415, 1442065]
XX.MXI.2008208000000.BHE[1472590, 1474540]
XX.MXI.2008208000000.BHE[1480260, 1481640]
XX.MXI.2008208000000.BHE[1505475, 1506915]
XX.MXI.2008208000000.BHE[1506455, 1509545]
XX.MXI.2008208000000.BHE[1513725, 1516905]
XX.MXI.2008208000000.BHE[1516905, 1519305]
XX.MXI.2008208000000.BHE[1591060, 1592410]
XX.MXI.2008208000000.BHE[1651685, 1655615]
XX.MXI.2008208000000.BHE[1778495, 1780865]
XX.MXI.2008208000000.BHE[1781095, 1783825]
XX.MXI.2008208000000.BHE[1930270, 1934080]
XX.MXI.2008208000000.BHE[2094465, 2096475]
XX.MXI.2008208000000.BHE[2180320, 2182030]
XX.MXI.2008208000000.BHE[2331165, 2332725]
XX.MXI.2008208000000.BHE[2430435, 2432475]
XX.MXI.2008208000000.BHE[2600195, 2602355]
XX.MXI.2008208000000.BHE[2676945, 2681355]
XX.MXI.2008208000000.BHE[2734460, 2736410]
XX.MXI.2008208000000.BHE[2838040, 2842630]
XX.MXI.2008208000000.BHE[2844410, 2846180]
XX.MXI.2008208000000.BHE[2845965, 2847525]
XX.MXI.2008208000000.BHE[2986600, 2988520]
XX.MXI.2008208000000.BHE[3078035, 3079865]
XX.MXI.2008208000000.BHE[3079965, 3081585]
XX.MXI.2008208000000.BHE[3100920, 3102540]
XX.MXI.2008208000000.BHE[3132695, 3134795]
XX.MXI.2008208000000.BHE[3197615, 3200135]
XX.MXI.2008208000000.BHE[3208195, 3209665]
XX.MXI.2008208000000.BHE[3269805, 3271425]
XX.MXI.2008208000000.BHE[3283760, 3285500]
XX.MXI.2008208000000.BHE[3468075, 3469425]
XX.MXI.2008208000000.BHE[3602810, 3604160]
XX.MXI.2008208000000.BHE[3790755, 3793815]
XX.MXI.2008208000000.BHE[3973085, 3977525]
XX.MXI.2008208000000.BHE[4015280, 4016450]
XX.MXI.2008208000000.BHE[4018445, 4021055]
XX.MXI.2008208000000.BHE[4154005, 4155385]
XX.MXI.2008208000000.BHE[4419885, 4421715]
XX.MXI.2008208000000.BHE[4436605, 4438105]
XX.MXI.2008208000000.BHE[4738925, 4740725]
XX.MXI.2008208000000.BHE[6078415, 6080155]
XX.HSH.2008203000000.BHZ[672495, 677235]
XX.HSH.2008203000000.BHZ[1030060, 1032040]
XX.HSH.2008203000000.BHZ[1648010, 1653380]
XX.HSH.2008203000000.BHZ[2185475, 2187755]
XX.JMG.2008196000000.BHN[206045, 209525]
XX.JMG.2008196000000.BHN[1095450, 1100790]
XX.JMG.2008196000000.BHN[1916555, 1918265]
XX.JMG.2008196000000.BHN[2100435, 2103195]
XX.JMG.2008196000000.BHN[2128900, 2130400]
XX.JMG.2008196000000.BHN[2178420, 2180340]
XX.JMG.2008196000000.BHN[2213330, 2216300]
XX.JMG.2008196000000.BHN[2321895, 2325195]
XX.JMG.2008196000000.BHN[4020355, 4022545]
XX.JMG.2008196000000.BHN[5186890, 5189890]
XX.JMG.2008196000000.BHN[6144615, 6145965]
XX.JMG.2008196000000.BHN[6860495, 6864455]
XX.JMG.2008196000000.BHN[7015365, 7017705]
XX.JJS.2008189000000.BHN[1063305, 1066905]
XX.JJS.2008189000000.BHN[4020125, 4021535]
XX.JJS.2008189000000.BHN[4466930, 4468220]
XX.JJS.2008189000000.BHN[4713570, 4715520]
XX.JJS.2008189000000.BHN[5021670, 5023020]
XX.JJS.2008189000000.BHN[6144315, 6146715]
XX.JJS.2008189000000.BHN[6850620, 6851940]
XX.JJS.2008189000000.BHN[8623970, 8626070]
XX.JMG.2008210000000.BHE[341990, 346040]
XX.JMG.2008210000000.BHE[3246460, 3249130]
XX.JMG.2008210000000.BHE[3497915, 3499505]
XX.JMG.2008210000000.BHE[3729255, 3730875]
XX.JMG.2008210000000.BHE[8357055, 8359575]
XX.JMG.2008210000000.BHE[8611375, 8612575]
XX.JMG.2008210000000.BHE[8613430, 8614660]
XX.HSH.2008196000000.BHN[30070, 33430]
XX.HSH.2008196000000.BHN[35680, 38530]
XX.HSH.2008196000000.BHN[85715, 89585]
XX.HSH.2008196000000.BHN[128230, 129940]
XX.HSH.2008196000000.BHN[3265765, 3267625]
XX.HSH.2008196000000.BHN[3409950, 3412920]
XX.HSH.2008196000000.BHN[3939440, 3943280]
XX.HSH.2008196000000.BHN[3974885, 3976865]
XX.HSH.2008196000000.BHN[3977415, 3980655]
XX.HSH.2008196000000.BHN[4903435, 4905235]
XX.HSH.2008196000000.BHN[7199925, 7203825]
XX.HSH.2008196000000.BHN[8504390, 8507930]
XX.MXI.2008202000000.BHE[0, 1140]
XX.MXI.2008202000000.BHE[209330, 210560]
XX.MXI.2008202000000.BHE[402200, 403370]
XX.MXI.2008202000000.BHE[460215, 461535]
XX.MXI.2008202000000.BHE[519000, 520410]
XX.MXI.2008202000000.BHE[663845, 665075]
XX.MXI.2008202000000.BHE[710480, 711890]
XX.MXI.2008202000000.BHE[717030, 718230]
XX.MXI.2008202000000.BHE[742395, 743895]
XX.MXI.2008202000000.BHE[755775, 757455]
XX.MXI.2008202000000.BHE[768075, 774795]
XX.MXI.2008202000000.BHE[774240, 781890]
XX.MXI.2008202000000.BHE[781980, 785160]
XX.MXI.2008202000000.BHE[783820, 792130]
XX.MXI.2008202000000.BHE[791835, 795465]
XX.MXI.2008202000000.BHE[795365, 802385]
XX.MXI.2008202000000.BHE[803020, 811540]
XX.MXI.2008202000000.BHE[810710, 819710]
XX.MXI.2008202000000.BHE[818135, 827765]
XX.MXI.2008202000000.BHE[828085, 831625]
XX.MXI.2008202000000.BHE[831745, 834835]
XX.MXI.2008202000000.BHE[839125, 842155]
XX.MXI.2008202000000.BHE[841085, 863495]
XX.MXI.2008202000000.BHE[863105, 865685]
XX.MXI.2008202000000.BHE[862445, 889205]
XX.MXI.2008202000000.BHE[913070, 924350]
XX.MXI.2008202000000.BHE[949210, 955000]
XX.MXI.2008202000000.BHE[956145, 957825]
XX.MXI.2008202000000.BHE[1021095, 1022535]
XX.MXI.2008202000000.BHE[1023090, 1025970]
XX.MXI.2008202000000.BHE[1069820, 1071560]
XX.MXI.2008202000000.BHE[1090800, 1092270]
XX.MXI.2008202000000.BHE[1117825, 1120105]
XX.MXI.2008202000000.BHE[1137360, 1139070]
XX.MXI.2008202000000.BHE[1148765, 1150505]
XX.MXI.2008202000000.BHE[1162635, 1164705]
XX.MXI.2008202000000.BHE[1222070, 1223420]
XX.MXI.2008202000000.BHE[1293940, 1295410]
XX.MXI.2008202000000.BHE[1303610, 1304990]
XX.MXI.2008202000000.BHE[1692110, 1693310]
XX.MXI.2008202000000.BHE[1786175, 1788185]
XX.MXI.2008202000000.BHE[2200880, 2202200]
XX.MXI.2008202000000.BHE[2241635, 2243195]
XX.MXI.2008202000000.BHE[2253940, 2255200]
XX.MXI.2008202000000.BHE[2260290, 2262090]
XX.MXI.2008202000000.BHE[2343880, 2345950]
XX.MXI.2008202000000.BHE[2550305, 2551985]
XX.MXI.2008202000000.BHE[2577505, 2579875]
XX.MXI.2008202000000.BHE[2580475, 2582695]
XX.MXI.2008202000000.BHE[2617520, 2619170]
XX.MXI.2008202000000.BHE[2716035, 2718585]
XX.MXI.2008202000000.BHE[2727505, 2729395]
XX.MXI.2008202000000.BHE[2729735, 2732615]
XX.MXI.2008202000000.BHE[2765455, 2766685]
XX.MXI.2008202000000.BHE[2771405, 2772575]
XX.MXI.2008202000000.BHE[2780660, 2781860]
XX.MXI.2008202000000.BHE[2984085, 2986515]
XX.MXI.2008202000000.BHE[2986245, 2988135]
XX.MXI.2008202000000.BHE[3230080, 3232300]
XX.MXI.2008202000000.BHE[3259700, 3261260]
XX.MXI.2008202000000.BHE[3261035, 3262565]
XX.MXI.2008202000000.BHE[3307525, 3309505]
XX.MXI.2008202000000.BHE[3383040, 3385350]
XX.MXI.2008202000000.BHE[3402530, 3403700]
XX.MXI.2008202000000.BHE[3540725, 3542525]
XX.MXI.2008202000000.BHE[3542305, 3543895]
XX.MXI.2008202000000.BHE[3557415, 3558585]
XX.MXI.2008202000000.BHE[3616205, 3617405]
XX.MXI.2008202000000.BHE[3679225, 3681805]
XX.MXI.2008202000000.BHE[3771520, 3772930]
XX.MXI.2008202000000.BHE[3957465, 3958755]
XX.MXI.2008202000000.BHE[3977425, 3981175]
XX.MXI.2008202000000.BHE[3990390, 3992580]
XX.MXI.2008202000000.BHE[4010615, 4011875]
XX.MXI.2008202000000.BHE[4202475, 4203795]
XX.MXI.2008202000000.BHE[5302910, 5305520]
XX.MXI.2008202000000.BHE[6344975, 6346385]
XX.MXI.2008202000000.BHE[6450285, 6451725]
XX.MXI.2008202000000.BHE[6716155, 6717355]
XX.MXI.2008202000000.BHE[8036865, 8039655]
XX.MXI.2008202000000.BHE[8110065, 8112975]
XX.MXI.2008188000000.BHE[92970, 96300]
XX.MXI.2008188000000.BHE[110000, 113270]
XX.MXI.2008188000000.BHE[606660, 608250]
XX.MXI.2008188000000.BHE[640530, 642660]
XX.MXI.2008188000000.BHE[1252800, 1254390]
XX.MXI.2008188000000.BHE[1593915, 1597305]
XX.MXI.2008188000000.BHE[1796505, 1798125]
XX.MXI.2008188000000.BHE[2068930, 2071900]
XX.MXI.2008188000000.BHE[2647940, 2649530]
XX.MXI.2008188000000.BHE[2809415, 2810645]
XX.MXI.2008188000000.BHE[2818740, 2820600]
XX.MXI.2008188000000.BHE[3101860, 3103600]
XX.MXI.2008188000000.BHE[3644205, 3645735]
XX.MXI.2008188000000.BHE[3931115, 3932825]
XX.MXI.2008188000000.BHE[4165545, 4167345]
XX.MXI.2008188000000.BHE[4221740, 4223030]
XX.MXI.2008188000000.BHE[4546345, 4547875]
XX.MXI.2008188000000.BHE[5771320, 5773900]
XX.MXI.2008188000000.BHE[5792845, 5794945]
XX.MXI.2008188000000.BHE[5800815, 5802705]
XX.MXI.2008188000000.BHE[6152005, 6153325]
XX.MXI.2008188000000.BHE[7494575, 7496105]
XX.MXI.2008188000000.BHE[7552115, 7553315]
XX.MXI.2008188000000.BHE[7724635, 7725955]
XX.MXI.2008188000000.BHE[7896685, 7897885]
XX.MXI.2008188000000.BHE[7915780, 7917400]
XX.MXI.2008188000000.BHE[7931525, 7932695]
XX.MXI.2008188000000.BHE[8025860, 8027090]
XX.MXI.2008188000000.BHE[8351125, 8352295]
XX.HSH.2008210000000.BHE[115990, 117280]
XX.HSH.2008210000000.BHE[140335, 144595]
XX.HSH.2008210000000.BHE[397080, 400590]
XX.HSH.2008210000000.BHE[403125, 406065]
XX.HSH.2008210000000.BHE[493070, 498290]
XX.HSH.2008210000000.BHE[586565, 592265]
XX.HSH.2008210000000.BHE[822965, 824765]
XX.HSH.2008210000000.BHE[845595, 848475]
XX.HSH.2008210000000.BHE[1057405, 1059085]
XX.HSH.2008210000000.BHE[1061640, 1067130]
XX.HSH.2008210000000.BHE[1154490, 1155660]
XX.HSH.2008210000000.BHE[1540510, 1543330]
XX.HSH.2008210000000.BHE[1543110, 1546170]
XX.HSH.2008210000000.BHE[1613260, 1617940]
XX.HSH.2008210000000.BHE[1625165, 1629695]
XX.HSH.2008210000000.BHE[1650635, 1652585]
XX.HSH.2008210000000.BHE[1825575, 1828485]
XX.HSH.2008210000000.BHE[2536600, 2541520]
XX.HSH.2008210000000.BHE[2632355, 2636555]
XX.HSH.2008210000000.BHE[2738720, 2742050]
XX.HSH.2008210000000.BHE[2992510, 2993920]
XX.HSH.2008210000000.BHE[2993470, 2996440]
XX.HSH.2008210000000.BHE[3035360, 3039620]
XX.HSH.2008210000000.BHE[3096715, 3098905]
XX.HSH.2008210000000.BHE[3154150, 3158770]
XX.HSH.2008210000000.BHE[3167100, 3169440]
XX.HSH.2008210000000.BHE[3369005, 3370775]
XX.HSH.2008210000000.BHE[3403140, 3404340]
XX.HSH.2008210000000.BHE[3706235, 3711215]
XX.HSH.2008210000000.BHE[3797870, 3799310]
XX.HSH.2008210000000.BHE[3953225, 3957395]
XX.HSH.2008210000000.BHE[4006035, 4008495]
XX.HSH.2008210000000.BHE[4199225, 4200425]
XX.HSH.2008210000000.BHE[4392540, 4398270]
XX.HSH.2008210000000.BHE[4827085, 4832275]
XX.HSH.2008210000000.BHE[5350730, 5352140]
XX.HSH.2008210000000.BHE[5360285, 5361695]
XX.HSH.2008210000000.BHE[7742450, 7743680]
XX.HSH.2008210000000.BHE[7742970, 7747470]
XX.HSH.2008210000000.BHE[8543175, 8545485]
XX.JJS.2008196000000.BHN[450270, 452460]
XX.JJS.2008196000000.BHN[1466680, 1468390]
XX.JJS.2008196000000.BHN[1470820, 1472590]
XX.JJS.2008196000000.BHN[1593225, 1599015]
XX.JJS.2008196000000.BHN[2312135, 2313515]
XX.JJS.2008196000000.BHN[2580475, 2583055]
XX.JJS.2008196000000.BHN[3092930, 3095030]
XX.JJS.2008196000000.BHN[3094765, 3096535]
XX.JJS.2008196000000.BHN[3153215, 3160565]
XX.JJS.2008196000000.BHN[5811415, 5814895]
XX.JJS.2008196000000.BHN[7007885, 7010075]
XX.JJS.2008196000000.BHN[7199140, 7202620]
XX.JJS.2008203000000.BHZ[593525, 594995]
XX.JJS.2008203000000.BHZ[4131365, 4132625]
XX.JJS.2008203000000.BHZ[5610380, 5613800]
XX.JJS.2008203000000.BHZ[7689180, 7690710]
XX.JJS.2008203000000.BHZ[7839295, 7845325]
XX.JMG.2008189000000.BHZ[92865, 96075]
XX.JMG.2008189000000.BHZ[319620, 321750]
XX.JMG.2008189000000.BHZ[1179275, 1181615]
XX.JMG.2008189000000.BHZ[1263885, 1267875]
XX.JMG.2008189000000.BHZ[1720765, 1722925]
XX.JMG.2008189000000.BHZ[1896670, 1901980]
XX.JMG.2008189000000.BHZ[2188390, 2190580]
XX.JMG.2008189000000.BHZ[2320765, 2323555]
XX.JMG.2008189000000.BHZ[4408420, 4412170]
XX.JMG.2008189000000.BHZ[4478985, 4481265]
XX.JMG.2008189000000.BHZ[4630660, 4633600]
XX.JMG.2008189000000.BHZ[4982150, 4986710]
XX.JMG.2008189000000.BHZ[5143775, 5149955]
XX.JMG.2008189000000.BHZ[5270245, 5272405]
XX.JMG.2008189000000.BHZ[6596190, 6597540]
XX.JMG.2008189000000.BHZ[8167290, 8171400]
XX.JJS.2008210000000.BHE[128730, 131130]
XX.JJS.2008210000000.BHE[4323535, 4325245]
XX.JJS.2008210000000.BHE[5278540, 5279740]
XX.JJS.2008210000000.BHE[5499865, 5502865]
XX.JJS.2008210000000.BHE[5502470, 5505110]
XX.JJS.2008210000000.BHE[7122125, 7123895]
XX.JJS.2008210000000.BHE[8614250, 8616650]
XX.MXI.2008195000000.BHE[91325, 92525]
XX.MXI.2008195000000.BHE[186675, 190635]
XX.MXI.2008195000000.BHE[425965, 428125]
XX.MXI.2008195000000.BHE[479585, 480995]
XX.MXI.2008195000000.BHE[587095, 589225]
XX.MXI.2008195000000.BHE[613060, 615700]
XX.MXI.2008195000000.BHE[695630, 697160]
XX.MXI.2008195000000.BHE[994095, 996015]
XX.MXI.2008195000000.BHE[1016545, 1017805]
XX.MXI.2008195000000.BHE[1095345, 1096995]
XX.MXI.2008195000000.BHE[1149840, 1154160]
XX.MXI.2008195000000.BHE[1171505, 1173515]
XX.MXI.2008195000000.BHE[1203595, 1205095]
XX.MXI.2008195000000.BHE[1580875, 1582945]
XX.MXI.2008195000000.BHE[1582705, 1584355]
XX.MXI.2008195000000.BHE[1648490, 1650860]
XX.MXI.2008195000000.BHE[2025335, 2026805]
XX.MXI.2008195000000.BHE[2038275, 2040645]
XX.MXI.2008195000000.BHE[2062435, 2063995]
XX.MXI.2008195000000.BHE[2082195, 2083995]
XX.MXI.2008195000000.BHE[2353140, 2357430]
XX.MXI.2008195000000.BHE[2737825, 2739655]
XX.MXI.2008195000000.BHE[2811965, 2813195]
XX.MXI.2008195000000.BHE[2912810, 2915150]
XX.MXI.2008195000000.BHE[2923620, 2924850]
XX.MXI.2008195000000.BHE[2947135, 2948425]
XX.MXI.2008195000000.BHE[3024945, 3028425]
XX.MXI.2008195000000.BHE[3030215, 3032885]
XX.MXI.2008195000000.BHE[3051695, 3054155]
XX.MXI.2008195000000.BHE[3113165, 3114635]
XX.MXI.2008195000000.BHE[3154180, 3155590]
XX.MXI.2008195000000.BHE[3183165, 3184455]
XX.MXI.2008195000000.BHE[3215590, 3216790]
XX.MXI.2008195000000.BHE[3222915, 3225855]
XX.MXI.2008195000000.BHE[3394770, 3396630]
XX.MXI.2008195000000.BHE[3482625, 3486045]
XX.MXI.2008195000000.BHE[3526305, 3527565]
XX.MXI.2008195000000.BHE[3527220, 3529470]
XX.MXI.2008195000000.BHE[3646870, 3649720]
XX.MXI.2008195000000.BHE[3752500, 3755410]
XX.MXI.2008195000000.BHE[3922990, 3924340]
XX.MXI.2008195000000.BHE[4015025, 4017635]
XX.MXI.2008195000000.BHE[4017400, 4019020]
XX.MXI.2008195000000.BHE[4018160, 4023620]
XX.MXI.2008195000000.BHE[4023030, 4026780]
XX.MXI.2008195000000.BHE[4026525, 4028265]
XX.MXI.2008195000000.BHE[4029060, 4034430]
XX.MXI.2008195000000.BHE[4035690, 4037520]
XX.MXI.2008195000000.BHE[4209845, 4212395]
XX.MXI.2008195000000.BHE[4764755, 4766765]
XX.MXI.2008195000000.BHE[5122195, 5123845]
XX.MXI.2008195000000.BHE[5328095, 5330285]
XX.MXI.2008195000000.BHE[5417735, 5419265]
XX.MXI.2008195000000.BHE[5848640, 5849840]
XX.MXI.2008195000000.BHE[5849640, 5851080]
XX.MXI.2008195000000.BHE[5927405, 5928575]
XX.MXI.2008195000000.BHE[6187620, 6188940]
XX.MXI.2008195000000.BHE[6479625, 6482475]
XX.MXI.2008195000000.BHE[6490950, 6492540]
XX.MXI.2008195000000.BHE[7975290, 7977450]
XX.MXI.2008195000000.BHE[8056015, 8057275]
XX.MXI.2008195000000.BHE[8336360, 8337800]
XX.JMG.2008204000000.BHE[6912340, 6913600]
XX.JMG.2008204000000.BHE[7500070, 7502080]
XX.HSH.2008189000000.BHZ[821060, 826700]
XX.HSH.2008189000000.BHZ[914410, 916840]
XX.HSH.2008189000000.BHZ[2300870, 2303240]
XX.HSH.2008189000000.BHZ[3077220, 3079380]
XX.HSH.2008189000000.BHZ[3634745, 3638525]
XX.HSH.2008189000000.BHZ[3697335, 3703185]
XX.HSH.2008189000000.BHZ[3869635, 3872905]
XX.MXI.2008208000000.BHN[135340, 137410]
XX.MXI.2008208000000.BHN[186320, 188090]
XX.MXI.2008208000000.BHN[230865, 232035]
XX.MXI.2008208000000.BHN[234135, 237645]
XX.MXI.2008208000000.BHN[299930, 302480]
XX.MXI.2008208000000.BHN[346480, 347890]
XX.MXI.2008208000000.BHN[572825, 574925]
XX.MXI.2008208000000.BHN[582820, 584350]
XX.MXI.2008208000000.BHN[661830, 666660]
XX.MXI.2008208000000.BHN[745365, 746835]
XX.MXI.2008208000000.BHN[751620, 753060]
XX.MXI.2008208000000.BHN[766360, 769420]
XX.MXI.2008208000000.BHN[900745, 903025]
XX.MXI.2008208000000.BHN[935180, 936890]
XX.MXI.2008208000000.BHN[969180, 972210]
XX.MXI.2008208000000.BHN[983620, 985150]
XX.MXI.2008208000000.BHN[1069455, 1071195]
XX.MXI.2008208000000.BHN[1076985, 1079055]
XX.MXI.2008208000000.BHN[1081700, 1085120]
XX.MXI.2008208000000.BHN[1084610, 1087910]
XX.MXI.2008208000000.BHN[1147020, 1149000]
XX.MXI.2008208000000.BHN[1181190, 1182930]
XX.MXI.2008208000000.BHN[1216640, 1218110]
XX.MXI.2008208000000.BHN[1252515, 1254705]
XX.MXI.2008208000000.BHN[1303185, 1309575]
XX.MXI.2008208000000.BHN[1414180, 1415440]
XX.MXI.2008208000000.BHN[1417160, 1418360]
XX.MXI.2008208000000.BHN[1440200, 1443140]
XX.MXI.2008208000000.BHN[1453980, 1455840]
XX.MXI.2008208000000.BHN[1480350, 1481580]
XX.MXI.2008208000000.BHN[1505540, 1506920]
XX.MXI.2008208000000.BHN[1506535, 1509085]
XX.MXI.2008208000000.BHN[1512070, 1513240]
XX.MXI.2008208000000.BHN[1513660, 1517200]
XX.MXI.2008208000000.BHN[1516385, 1521515]
XX.MXI.2008208000000.BHN[1564420, 1566010]
XX.MXI.2008208000000.BHN[1574955, 1576125]
XX.MXI.2008208000000.BHN[1598595, 1599825]
XX.MXI.2008208000000.BHN[1651065, 1655295]
XX.MXI.2008208000000.BHN[1696365, 1697715]
XX.MXI.2008208000000.BHN[1702820, 1704110]
XX.MXI.2008208000000.BHN[1778155, 1780105]
XX.MXI.2008208000000.BHN[1911425, 1912865]
XX.MXI.2008208000000.BHN[1930985, 1933595]
XX.MXI.2008208000000.BHN[2094860, 2096270]
XX.MXI.2008208000000.BHN[2112405, 2115645]
XX.MXI.2008208000000.BHN[2179245, 2181915]
XX.MXI.2008208000000.BHN[2406655, 2408365]
XX.MXI.2008208000000.BHN[2556530, 2557790]
XX.MXI.2008208000000.BHN[2838105, 2842305]
XX.MXI.2008208000000.BHN[2844290, 2846030]
XX.MXI.2008208000000.BHN[2845805, 2847365]
XX.MXI.2008208000000.BHN[2897140, 2899270]
XX.MXI.2008208000000.BHN[2985695, 2989985]
XX.MXI.2008208000000.BHN[3033720, 3035640]
XX.MXI.2008208000000.BHN[3079770, 3081720]
XX.MXI.2008208000000.BHN[3100940, 3102290]
XX.MXI.2008208000000.BHN[3197985, 3199785]
XX.MXI.2008208000000.BHN[3201975, 3203145]
XX.MXI.2008208000000.BHN[3269550, 3271440]
XX.MXI.2008208000000.BHN[3284010, 3285360]
XX.MXI.2008208000000.BHN[3791885, 3793505]
XX.MXI.2008208000000.BHN[3793275, 3795705]
XX.MXI.2008208000000.BHN[3974025, 3977475]
XX.MXI.2008208000000.BHN[4001080, 4002520]
XX.MXI.2008208000000.BHN[4004160, 4005510]
