GS.WDT.2008215000000.BHN|[]
XX.JJS.2008195000000.BHE|[[93720, 94845], [165560, 169285], [188890, 190740], [246305, 249755], [513410, 521860], [633740, 635940], [658180, 659255], [696900, 698375], [779220, 780345], [895915, 897115], [897475, 899125], [1017715, 1019015], [1094270, 1095345], [1095395, 1099245], [1391925, 1394400], [1582210, 1584810], [1854450, 1859975], [2214540, 2218965], [2236140, 2245090], [2333615, 2334790], [2355805, 2358330], [2567775, 2570400], [2653915, 2655340], [2997970, 3000945], [3375450, 3376825], [3640500, 3642425], [3649195, 3650720], [3684735, 3691810], [4003955, 4010355], [4079285, 4081310], [4107120, 4109170], [4134690, 4136715], [4207485, 4209060], [4219045, 4220520], [4333030, 4340780], [4378270, 4379295], [4649830, 4650980], [4686830, 4694280], [4969515, 4972915], [5002535, 5004260], [5194150, 5198575], [5457585, 5458810], [5459825, 5461100], [5468535, 5470685], [5478300, 5480025], [5515370, 5519245], [5826995, 5835870], [5841695, 5855570], [6047515, 6050340], [6063800, 6066125], [6107750, 6113625], [6125820, 6127295], [6127335, 6130410], [6153335, 6158610], [6218950, 6225525], [6277025, 6280725], [6418525, 6421500], [6421695, 6423220], [6663860, 6666310], [6851780, 6855380], [6925905, 6928005], [7183965, 7185415], [7216040, 7222340], [7633645, 7635495], [7780895, 7786795], [8060480, 8062230], [8062260, 8063835], [8424180, 8426455], [8520340, 8522140]]
XX.MXI.2008193000000.BHZ|[[93395, 94670], [129410, 132985], [144080, 147930], [248130, 252280], [268265, 271215], [302540, 306415], [326580, 328380], [359715, 361540], [430130, 432880], [496170, 501045], [553215, 554190], [600405, 602780], [686250, 688975], [707370, 709495], [792665, 794915], [893255, 896455], [1023250, 1027150], [1060440, 1062490], [1092925, 1096125], [1099240, 1101765], [1128660, 1129935], [1135415, 1138065], [1159390, 1160365], [1256330, 1258405], [1262000, 1268075], [1283130, 1284705], [1284940, 1288490], [1308730, 1314730], [1374905, 1376355], [1386305, 1390280], [1475010, 1479835], [1482585, 1484735], [1500590, 1502890], [1504450, 1508675], [1518840, 1520665], [1534840, 1537190], [1549960, 1551010], [1668810, 1673560], [1674770, 1676545], [1786215, 1792840], [1812355, 1813805], [1837990, 1839415], [1879895, 1881670], [1884635, 1886085], [1901555, 1902630], [1910980, 1913205], [2028975, 2034200], [2146155, 2149305], [2161200, 2162350], [2230335, 2231985], [2242290, 2243790], [2269030, 2278205], [2320515, 2321540], [2347620, 2356870], [2400515, 2401990], [2407005, 2409655], [2428620, 2430870], [2468985, 2472935], [2595305, 2599705], [2603110, 2604385], [2843450, 2845750], [2949080, 2953430], [2974920, 2977870], [3063375, 3070350], [3135085, 3139935], [3151760, 3153410], [3183210, 3185310], [3201260, 3202635], [3215155, 3217405], [3247835, 3249460], [3298250, 3302725], [3310540, 3312640], [3352605, 3356105], [3370325, 3372375], [3482800, 3486550], [3556575, 3557825], [3601965, 3603415], [3677375, 3680475], [3693995, 3696245], [3781695, 3782720], [3802060, 3804210], [3960280, 3963380], [3970480, 3971580], [3975455, 3977630], [3981665, 3983940], [4011335, 4015910], [4103660, 4105235], [4163590, 4166090], [4219955, 4222755], [4255155, 4257780], [4273695, 4275595], [4286885, 4288435], [4338320, 4341820], [4453975, 4455775], [4456945, 4459545], [4520520, 4522120], [4598780, 4605080], [4638715, 4639890], [4672775, 4676150], [4771820, 4775970], [4788010, 4791610], [4814580, 4819530], [4827550, 4830625], [4835040, 4836440], [4871755, 4873955], [5035120, 5037570], [5140190, 5141990], [5145615, 5147065], [5180145, 5181345], [5186455, 5190305], [5202450, 5203750], [5204650, 5210375], [5255820, 5257395], [5369435, 5371510], [5506225, 5508850], [5512390, 5513490], [5574510, 5578660], [5615385, 5617385], [5750120, 5754545], [5781935, 5783010], [5875395, 5876770], [6142660, 6146835], [6263400, 6265725], [6384280, 6388355], [6435610, 6437585], [6470345, 6472545], [6473470, 6474445], [6598895, 6602345], [6606390, 6609740], [6656255, 6657580], [6735845, 6738670], [6795855, 6799030], [6879570, 6880995], [6886600, 6892450], [6896055, 6898505], [6907835, 6909310], [6927150, 6929150], [6930985, 6932385], [6963520, 6970895], [6997410, 6998410], [7018920, 7026745], [7033135, 7034610], [7059740, 7065040], [7165990, 7167715], [7220710, 7223260], [7440295, 7443420], [7681640, 7685965], [7718385, 7721135], [7784455, 7786280], [7883590, 7886190], [7886295, 7889470], [7896570, 7901420], [7918390, 7919790], [8091510, 8092510], [8145370, 8150695], [8166560, 8171410], [8197275, 8198275], [8200915, 8203015], [8266640, 8268515], [8268580, 8270780], [8280755, 8282955], [8292785, 8294785], [8423115, 8427140], [8448465, 8452065], [8471005, 8472280], [8548610, 8552635], [8567325, 8569200], [8629565, 8631690]]
XX.JMG.2008195000000.BHN|[[4800, 5875], [41890, 44240], [90255, 94080], [163565, 166590], [166625, 170675], [187910, 191860], [246665, 251140], [515245, 523495], [537145, 540145], [631675, 636475], [670640, 673015], [775800, 778825], [807230, 809005], [1013190, 1017565], [1231085, 1233760], [1297665, 1300465], [1577600, 1584900], [1631890, 1634515], [1650205, 1651755], [1656400, 1660050], [1854975, 1861475], [2216015, 2222015], [2237660, 2245035], [2352725, 2356400], [2393615, 2397665], [2456235, 2459310], [2552625, 2554175], [2655925, 2657700], [2998795, 3003945], [3371715, 3375040], [3401190, 3402690], [3525560, 3529785], [3537545, 3538845], [3550930, 3554205], [3643225, 3644425], [3648385, 3651210], [3685390, 3692440], [3750340, 3753215], [3796815, 3799365], [4002225, 4012075], [4077200, 4081650], [4110340, 4111890], [4132315, 4137015], [4203905, 4209180], [4216720, 4221770], [4334835, 4341235], [4421685, 4425660], [4645530, 4651480], [4688435, 4694860], [4745310, 4746310], [4799395, 4802095], [4825245, 4826220], [4969925, 4974100], [5001770, 5005870], [5198755, 5200330], [5516565, 5522965], [5570395, 5573270], [5826290, 5835065], [5843040, 5853190], [5861355, 5862355], [5866870, 5868370], [6011345, 6014045], [6043895, 6049895], [6061650, 6065675], [6109610, 6115660], [6124035, 6131385], [6151425, 6160500], [6280980, 6282155], [6404140, 6405565], [6415635, 6421760], [6491585, 6493160], [6572340, 6575765], [6619765, 6620840], [6627790, 6629190], [6645880, 6650155], [6667050, 6668850], [6757285, 6760635], [6780200, 6783025], [6853420, 6854745], [6855320, 6858270], [6927185, 6929485], [7025655, 7027680], [7179635, 7184185], [7217595, 7224095], [7454445, 7455470], [7636160, 7637435], [7669160, 7672310], [7782060, 7783310], [7783620, 7787145], [7787295, 7788845], [7902895, 7903970], [8054305, 8057605], [8058510, 8064635], [8080260, 8082760], [8182510, 8184035], [8294655, 8297580], [8519760, 8524160], [8616470, 8618695]]
XX.HSH.2008195000000.BHN|[[165820, 169495], [246495, 250745], [419800, 421825], [513845, 520470], [657235, 659410], [696115, 697815], [766090, 769165], [895695, 899095], [996000, 997100], [1030355, 1031355], [1125875, 1127775], [1149685, 1153735], [1177850, 1181625], [1316170, 1319745], [1446785, 1447935], [1455250, 1458850], [1476800, 1477975], [1499555, 1502730], [1636530, 1639855], [1759335, 1761985], [1847155, 1850155], [1854595, 1860270], [1884705, 1888105], [2039210, 2040435], [2040500, 2042950], [2200640, 2202865], [2214355, 2219280], [2234765, 2235815], [2236380, 2244805], [2254535, 2255760], [2316565, 2318515], [2471595, 2473145], [2565780, 2570405], [2653045, 2657145], [2711070, 2716220], [2765755, 2769555], [2778135, 2782760], [2813235, 2814260], [2833365, 2836490], [2997325, 3000850], [3358250, 3361400], [3640450, 3643025], [3685320, 3689895], [3764915, 3766465], [3766510, 3769085], [3797040, 3798740], [3835460, 3836810], [4004510, 4010110], [4048325, 4052375], [4106715, 4110715], [4242990, 4244090], [4294895, 4296245], [4329650, 4331975], [4333155, 4337630], [4429145, 4432445], [4487050, 4488300], [4647475, 4649825], [4688130, 4692155], [4971070, 4972595], [5003325, 5004950], [5194600, 5199125], [5248255, 5249305], [5329715, 5331440], [5340965, 5342315], [5515860, 5519635], [5739820, 5741070], [5827285, 5832360], [5840445, 5849045], [5927725, 5929050], [6108080, 6112755], [6278975, 6280625], [6420000, 6423525], [6480865, 6482065], [6512860, 6515660], [6555675, 6556800], [6663010, 6666635], [6851905, 6855230], [6925640, 6927890], [7006430, 7008280], [7216610, 7221110], [7323835, 7325510], [7566260, 7567260], [7633390, 7635815], [7739560, 7741060], [7781255, 7786980], [7975225, 7978250], [8072840, 8074690], [8340110, 8343160], [8422465, 8425315], [8518875, 8522250], [8594770, 8596045]]
XX.JJS.2008195000000.BHN|[[93770, 94820], [165520, 168645], [188965, 190440], [190505, 191705], [246325, 249375], [513435, 520935], [633890, 635940], [658265, 659640], [697005, 698630], [897335, 899335], [1017565, 1019190], [1095205, 1098630], [1391935, 1394110], [1582310, 1584260], [1854390, 1861090], [1991005, 1993280], [2214550, 2219550], [2236170, 2244945], [2355865, 2358090], [2440555, 2442605], [2566860, 2570510], [2653700, 2656100], [2997365, 3001265], [3375430, 3376630], [3640375, 3642575], [3649340, 3651040], [3684755, 3690730], [4003945, 4010745], [4079210, 4080785], [4107165, 4109640], [4134740, 4136890], [4207475, 4208825], [4219150, 4221050], [4333050, 4341125], [4469505, 4471305], [4650015, 4651340], [4686825, 4695375], [4970370, 4972545], [5002580, 5004030], [5194160, 5198485], [5453525, 5455025], [5457480, 5459705], [5459740, 5461340], [5515470, 5520445], [5826930, 5835430], [5841695, 5853270], [6047280, 6049555], [6063780, 6065830], [6107800, 6113125], [6125815, 6129915], [6153335, 6158360], [6218930, 6226105], [6226150, 6227825], [6276995, 6279495], [6374905, 6375930], [6402620, 6404470], [6418900, 6420550], [6663410, 6666010], [6851765, 6854540], [6926020, 6927870], [7184055, 7186230], [7216025, 7221625], [7634145, 7635570], [7780880, 7784280], [7784315, 7785940], [8060475, 8061875], [8062400, 8064025], [8424140, 8425590], [8520180, 8521780]]
XX.MXI.2008194000000.BHE|[[8060340, 8061540], [8063405, 8066155], [8113035, 8116285], [8137995, 8142595], [8155070, 8159220], [8162135, 8165760], [8173950, 8177250], [8196425, 8202275]]
XX.JMG.2008195000000.BHZ|[[41885, 44610], [90230, 93655], [163550, 170150], [187575, 190350], [246665, 251265], [515105, 522505], [537130, 539655], [631665, 636415], [775800, 778625], [806435, 808785], [1013215, 1016440], [1297680, 1300580], [1577595, 1583395], [1631680, 1633105], [1656400, 1660550], [1854915, 1860890], [2216010, 2220385], [2237650, 2243475], [2352725, 2356375], [2393600, 2395925], [2456210, 2458860], [2656385, 2657510], [2998765, 3000890], [3000940, 3002790], [3220075, 3221575], [3371710, 3375835], [3525545, 3529945], [3536930, 3539130], [3550910, 3554260], [3649395, 3650770], [3685380, 3691155], [3750335, 3752860], [3795895, 3798720], [4002215, 4010740], [4077195, 4082095], [4132285, 4136885], [4203980, 4208155], [4216725, 4221675], [4334815, 4340090], [4421665, 4425240], [4645520, 4650170], [4688405, 4694255], [4799385, 4802335], [4969860, 4973685], [5001760, 5005260], [5477580, 5479855], [5516550, 5521000], [5826265, 5836065], [5843015, 5851540], [6011335, 6013860], [6043880, 6049280], [6061590, 6065240], [6109550, 6114150], [6124025, 6130600], [6151400, 6160325], [6403785, 6405560], [6415605, 6420205], [6572315, 6575215], [6645870, 6649220], [6757295, 6760420], [6853345, 6857320], [7044075, 7045725], [7179650, 7184950], [7217590, 7222840], [7669140, 7672440], [7782030, 7783855], [7783905, 7785780], [8058520, 8063620], [8182155, 8184105], [8294645, 8297620], [8519750, 8523975]]
XX.HSH.2008195000000.BHZ|[[165800, 168900], [246505, 249655], [513840, 519515], [657785, 659235], [696175, 697675], [766030, 769205], [895675, 898525], [1499545, 1502345], [1638170, 1639920], [1760320, 1761445], [1854720, 1859095], [1884740, 1887815], [2200455, 2202405], [2215075, 2219425], [2236450, 2241325], [2254435, 2255660], [2565790, 2569790], [2653310, 2656410], [2765815, 2768765], [2833775, 2836300], [2997315, 3000990], [3358425, 3361300], [3685300, 3689875], [3766720, 3768620], [3834850, 3836900], [4004510, 4008885], [4294500, 4295750], [4329045, 4331295], [4333145, 4337720], [4430505, 4432030], [4688085, 4691335], [5194600, 5198575], [5515720, 5519070], [5827225, 5831750], [5840440, 5847540], [6108060, 6112310], [6420015, 6423115], [6480605, 6482230], [6513840, 6515515], [6663015, 6666115], [6851880, 6855255], [7216605, 7220780], [7323845, 7325545], [7739565, 7740740], [7781240, 7786765], [8073275, 8074500], [8340095, 8342795], [8422445, 8425120], [8518875, 8521525], [8594835, 8596110]]
XX.JJS.2008195000000.BHZ|[[165525, 168700], [246360, 249560], [513405, 520030], [632355, 635380], [897335, 898885], [1094235, 1095610], [1095810, 1098210], [1391875, 1393950], [1854375, 1859475], [2214500, 2219525], [2236180, 2242630], [2566710, 2570060], [2653600, 2655375], [2997420, 3000595], [3640425, 3641825], [3684720, 3690145], [4003945, 4009995], [4077820, 4079170], [4079215, 4080565], [4333020, 4338370], [4686805, 4692730], [4969305, 4972180], [5002550, 5003975], [5194145, 5198045], [5464035, 5465310], [5515435, 5520660], [5826905, 5835280], [5841660, 5850035], [5850065, 5851365], [6045735, 6046960], [6107725, 6112825], [6125800, 6130525], [6153300, 6154900], [6154950, 6158650], [6221645, 6225420], [6276980, 6279955], [6417200, 6418250], [6418285, 6421510], [6662760, 6665910], [6851750, 6855550], [6926185, 6927660], [7215980, 7221505], [7780790, 7786065], [8061360, 8063860]]
XX.MXI.2008194000000.BHN|[[8780, 10730], [10890, 14065], [14280, 17605], [17635, 24435], [25030, 26930], [27455, 30230], [30265, 31240], [63915, 67690], [143400, 148050], [234190, 237740], [248990, 251115], [251690, 252840], [323025, 324000], [366035, 367385], [413820, 414795], [418820, 420545], [474675, 480100], [539880, 541455], [590180, 591205], [603365, 604540], [682360, 684710], [686880, 689430], [725370, 727870], [791985, 795210], [819575, 820725], [844020, 846345], [953825, 956150], [1194240, 1195815], [1249550, 1251225], [1337345, 1341295], [1342175, 1345175], [1440830, 1441930], [1452250, 1458075], [1462385, 1463835], [1503295, 1505070], [1536060, 1540410], [1544555, 1547055], [1573020, 1574320], [1728435, 1729410], [1802575, 1803850], [1812665, 1813640], [1875910, 1887735], [1898290, 1899790], [1900455, 1901430], [2011610, 2012635], [2098365, 2102990], [2113080, 2117030], [2175960, 2177010], [2178835, 2179810], [2229815, 2234165], [2275665, 2277290], [2328175, 2329400], [2337850, 2340175], [2343955, 2345530], [2362965, 2364040], [2364070, 2365995], [2377240, 2379390], [2484250, 2485575], [2486200, 2490225], [2503655, 2505205], [2522295, 2523345], [2533655, 2535155], [2738060, 2739785], [2792940, 2801265], [2881100, 2882575], [2926740, 2928590], [2928710, 2930060], [3010165, 3011390], [3040815, 3043140], [3076715, 3079640], [3171875, 3173425], [3179005, 3181230], [3190380, 3192080], [3221840, 3223015], [3223060, 3225085], [3238620, 3240845], [3242280, 3244855], [3247735, 3251210], [3309830, 3310880], [3311020, 3312995], [3340585, 3344110], [3353300, 3356000], [3371010, 3373160], [3378825, 3384450], [3396260, 3401685], [3408120, 3410070], [3428780, 3429755], [3458350, 3459400], [3587360, 3588435], [3634940, 3636640], [3681385, 3683785], [3733290, 3734890], [3782535, 3783835], [3902760, 3905660], [3911775, 3914400], [3946555, 3947630], [4005345, 4006995], [4011635, 4018410], [4029140, 4035215], [4042890, 4044990], [4045385, 4046910], [4050040, 4052665], [4052725, 4057075], [4066500, 4070875], [4095055, 4096755], [4143610, 4145860], [4146140, 4148240], [4164945, 4168545], [4176315, 4177590], [4177650, 4178725], [4185130, 4186680], [4189160, 4190810], [4190840, 4194115], [4196640, 4198290], [4207245, 4208220], [4214285, 4216160], [4221540, 4222615], [4222650, 4225125], [4238075, 4239050], [4260250, 4261525], [4280840, 4282440], [4293295, 4294270], [4306080, 4308405], [4311325, 4314950], [4314985, 4316860], [4321030, 4323755], [4330675, 4331925], [4378665, 4380940], [4411785, 4415285], [4450070, 4451095], [4460350, 4461425], [4462310, 4463510], [4482490, 4483590], [4483640, 4484715], [4506610, 4509860], [4514750, 4517250], [4588900, 4590475], [4650515, 4652690], [4703245, 4706345], [4710595, 4712370], [4713500, 4717125], [4746865, 4747840], [4774100, 4775875], [4852635, 4855260], [4867290, 4869190], [4889660, 4891985], [4908995, 4909970], [5010140, 5013890], [5076430, 5077755], [5173745, 5174995], [5263230, 5276930], [5282210, 5285785], [5287245, 5288345], [5316590, 5320015], [5373450, 5374475], [5387365, 5388365], [5438370, 5439920], [5456540, 5463715], [5466725, 5467775], [5517075, 5519450], [5554200, 5558550], [5559675, 5562825], [5621795, 5622995], [5716445, 5719895], [5726215, 5727815], [5758410, 5761960], [5769835, 5771310], [5791110, 5795410], [5837885, 5839685], [5876645, 5879595], [5914370, 5916545], [5989945, 5991495], [5997590, 5999615], [6001945, 6004295], [6142785, 6144860], [6207245, 6208295], [6221200, 6222900], [6263800, 6265525], [6285490, 6287515], [6291415, 6293265], [6401545, 6402995], [6410775, 6415425], [6441425, 6444975], [6471740, 6477165], [6520240, 6521765], [6651050, 6652425], [6659705, 6663205], [6686295, 6690720], [6701965, 6703490], [6728045, 6730645], [6746405, 6747830], [6765145, 6767045], [6772345, 6775420], [6792860, 6793885], [6929205, 6932780], [6939035, 6940685], [6967415, 6970115], [7074775, 7076250], [7103150, 7104800], [7152685, 7156160], [7286745, 7290095], [7384300, 7386225], [7424730, 7428130], [7436010, 7437535], [7462760, 7467135], [7576155, 7577655], [7692940, 7696590], [7702320, 7705295], [7753495, 7757245], [7794925, 7796225], [7830385, 7832785], [7928335, 7929460], [7955740, 7958490], [8004865, 8006190], [8063435, 8064510], [8084010, 8085035], [8138060, 8141660], [8155080, 8157705], [8174180, 8175780], [8192865, 8193940]]
XX.JMG.2008196000000.BHE|[[13485, 20110], [100600, 102125], [108125, 124800], [179260, 183685], [206605, 210380], [427760, 431260], [452870, 454445], [532055, 533130], [600550, 603200], [628985, 632460], [722975, 724000], [743810, 747010], [764290, 767890], [885095, 886420], [952530, 954080], [1068695, 1074720], [1088965, 1100565], [1153190, 1156940], [1194080, 1198430], [1228260, 1230160], [1466760, 1470985], [1486730, 1487705], [1567365, 1570715], [1706435, 1713085], [1741175, 1743550], [1755410, 1757635], [1916850, 1922325], [1932180, 1933280], [2043985, 2052760], [2128710, 2131085], [2213645, 2216320], [2312935, 2314385], [2322440, 2325265], [2582430, 2583530], [2769300, 2771175], [2978400, 2979800], [3376305, 3377555], [3402420, 3406020], [3674040, 3679015], [3704775, 3707700], [3707735, 3710435], [3711700, 3717625], [3740210, 3743410], [3748785, 3752260], [4020730, 4026455], [4119665, 4121790], [4223965, 4225915], [4413875, 4415925], [4493285, 4496285], [4672940, 4679790], [4773115, 4777040], [4862880, 4864780], [5057730, 5065080], [5085110, 5086360], [5186675, 5189700], [5424615, 5425715], [5480115, 5483540], [5489105, 5492355], [5568525, 5569750], [5621555, 5623680], [5812660, 5816810], [6144620, 6145970], [6170160, 6173360], [6178110, 6179310], [6296625, 6302450], [6500655, 6503905], [6639590, 6641040], [6677480, 6685555], [6796210, 6797285], [6861370, 6864420], [6881905, 6883655], [6884875, 6887450], [7010975, 7012300], [7015185, 7017785], [7182150, 7201900], [7201935, 7206535], [7287180, 7290255], [7682050, 7684200], [7766320, 7768570], [7982825, 7987550], [8002025, 8008175], [8217235, 8219060], [8444940, 8448415], [8449995, 8460570], [8480570, 8481995]]
XX.HSH.2008196000000.BHE|[[4990, 6190], [17975, 19325], [30555, 33305], [36500, 38500], [84995, 89895], [97570, 101245], [110425, 120675], [168740, 173065], [202770, 203795], [204735, 209260], [222940, 224990], [450215, 453715], [601420, 603270], [749650, 752600], [781250, 784050], [857795, 860920], [882430, 884280], [949045, 950945], [1068290, 1072415], [1088970, 1094820], [1138950, 1140225], [1152535, 1156235], [1218440, 1220890], [1269425, 1270500], [1561565, 1562740], [1573485, 1574610], [1857085, 1859960], [1914675, 1921225], [1943010, 1944635], [1992995, 1994295], [2007705, 2009130], [2290780, 2291855], [2291885, 2293135], [2318270, 2320120], [2690060, 2691335], [2691440, 2693515], [2716260, 2718360], [2842220, 2843320], [2957680, 2959780], [2975055, 2978455], [3100850, 3105575], [3140800, 3143750], [3266095, 3268070], [3268690, 3270190], [3270240, 3272015], [3324105, 3326130], [3369555, 3370605], [3375510, 3376535], [3410350, 3413325], [3635085, 3639335], [3673010, 3676810], [3710770, 3715995], [3938740, 3943265], [3952075, 3954925], [4001600, 4004775], [4019070, 4023770], [4105465, 4107765], [4259420, 4261020], [4283150, 4285425], [4302840, 4304190], [4478800, 4479950], [4671075, 4677125], [4722725, 4723725], [4903605, 4906055], [5062335, 5063310], [5110495, 5111670], [5126155, 5127580], [5411100, 5412825], [5580465, 5582190], [5701945, 5703470], [5811155, 5815005], [6083700, 6088200], [6492475, 6493825], [6569125, 6570525], [6812175, 6814850], [6858810, 6861810], [6879035, 6885160], [7008585, 7011035], [7056655, 7057780], [7181275, 7199050], [7200415, 7203940], [7982035, 7985210], [8001535, 8005810], [8264125, 8265550], [8435015, 8436440], [8449025, 8456525], [8477830, 8480305], [8504935, 8506610], [8506660, 8507935], [8554445, 8555620]]
XX.JJS.2008196000000.BHE|[[17140, 19390], [97010, 100635], [109995, 128920], [170150, 172350], [183515, 184790], [208810, 210985], [881550, 883575], [1067840, 1073915], [1088515, 1098265], [1152250, 1155900], [1197955, 1199380], [1467000, 1468400], [1485105, 1486155], [1594215, 1598440], [1710515, 1712515], [1915295, 1920845], [2037955, 2039055], [2046600, 2053800], [2580965, 2582465], [2717975, 2719250], [2929810, 2930785], [2975695, 2977270], [3102340, 3104115], [3155275, 3160975], [3672535, 3677310], [3710260, 3715110], [4018915, 4025790], [4284090, 4285390], [4671255, 4677555], [4776300, 4777375], [5059700, 5065100], [5432170, 5433495], [5492470, 5493445], [5810975, 5815525], [6086790, 6088415], [6301570, 6302945], [6682150, 6685400], [6859955, 6861305], [6880635, 6886860], [7008105, 7010530], [7181015, 7203915], [7386970, 7388270], [7981295, 7985070], [8001170, 8007320], [8448715, 8460315], [8477730, 8479430]]
XX.MXI.2008194000000.BHZ|[[4660, 5710], [63925, 68150], [143430, 147280], [234180, 238130], [248930, 251305], [323020, 324245], [418900, 420900], [474660, 480060], [590170, 591345], [682355, 684505], [686880, 689155], [792020, 795370], [843995, 846220], [953820, 956145], [1194245, 1195420], [1249620, 1251570], [1294240, 1295365], [1337385, 1340885], [1342120, 1344570], [1440825, 1442525], [1453150, 1458200], [1462390, 1463765], [1536035, 1540535], [1544555, 1547130], [1802560, 1804185], [1875910, 1883910], [1884940, 1887015], [1898295, 1899745], [2038050, 2039150], [2098345, 2103145], [2113110, 2116835], [2229825, 2234225], [2328195, 2329720], [2337890, 2340015], [2343945, 2345945], [2486195, 2489445], [2522270, 2523345], [2533630, 2535355], [2737915, 2739565], [2792935, 2801335], [2926740, 2928615], [2928705, 2929755], [3010180, 3011805], [3040840, 3043090], [3076710, 3079335], [3171875, 3173550], [3178975, 3181000], [3190375, 3192025], [3247825, 3251150], [3311420, 3313570], [3340555, 3344230], [3353295, 3355770], [3371010, 3372960], [3378840, 3383790], [3396260, 3400935], [3587375, 3589275], [3634930, 3636805], [3681425, 3684150], [3902860, 3906360], [4011635, 4018460], [4029465, 4034790], [4042870, 4045045], [4045360, 4046910], [4050135, 4052610], [4052660, 4056885], [4066500, 4070250], [4095275, 4096875], [4143630, 4145980], [4164945, 4168845], [4214425, 4216150], [4222730, 4224205], [4281140, 4282290], [4306080, 4308130], [4311945, 4315670], [4321005, 4323830], [4378705, 4380530], [4411770, 4414670], [4506655, 4510330], [4514735, 4517135], [4650520, 4652620], [4713520, 4716970], [4773690, 4775790], [4852655, 4855655], [4867315, 4869515], [4889630, 4892580], [4908970, 4910245], [5010135, 5013385], [5076425, 5077900], [5189775, 5190800], [5263230, 5275180], [5282230, 5285530], [5315625, 5318800], [5387350, 5388450], [5438355, 5439980], [5456535, 5462560], [5466725, 5468025], [5517065, 5519690], [5554170, 5558595], [5559675, 5562875], [5593390, 5594365], [5621755, 5623630], [5716435, 5720260], [5726210, 5727910], [5758405, 5761830], [5769840, 5771440], [5791105, 5795830], [5816530, 5817755], [5837880, 5839680], [5876655, 5879580], [5914370, 5916570], [5989915, 5991965], [5997575, 5999775], [6001865, 6004040], [6142805, 6145180], [6221195, 6222820], [6263800, 6265950], [6285510, 6287385], [6291390, 6293440], [6401520, 6403045], [6410770, 6414770], [6441425, 6445100], [6471725, 6476625], [6560520, 6561945], [6632385, 6633760], [6659700, 6663300], [6686295, 6690595], [6701945, 6703470], [6728040, 6731040], [6746405, 6748280], [6765130, 6766930], [6772345, 6775645], [6792855, 6794180], [6929185, 6932585], [6939005, 6940655], [6967415, 6970215], [7073145, 7075995], [7103145, 7105495], [7152685, 7156485], [7286705, 7289705], [7384300, 7386125], [7424730, 7428080], [7436010, 7437685], [7462765, 7467615], [7575695, 7578370], [7692935, 7696210], [7702285, 7705285], [7753460, 7757060], [7794920, 7796270], [7830380, 7832555], [7928345, 7929445], [7955710, 7958535], [7993075, 7994250], [8004830, 8006130], [8063405, 8065805], [8090695, 8091970], [8113140, 8116165], [8138035, 8142510], [8155070, 8158570], [8174145, 8177870], [8196425, 8198600], [8550920, 8554795], [8582705, 8585705], [8590870, 8592745], [8608910, 8611910], [8619860, 8624035], [8628940, 8634365], [8634405, 8635955]]
XX.JMG.2008196000000.BHN|[[13490, 20015], [100570, 101745], [108135, 123960], [179240, 184290], [206625, 209525], [427770, 431670], [452645, 454420], [600565, 602240], [628985, 632535], [743810, 747085], [764320, 767645], [884920, 885995], [951355, 952505], [952555, 954230], [1068625, 1074925], [1088985, 1096310], [1096340, 1100790], [1153185, 1157435], [1194090, 1199440], [1227240, 1228415], [1228510, 1229985], [1466745, 1470720], [1486770, 1487945], [1567390, 1570190], [1706445, 1712995], [1741175, 1743475], [1755450, 1757725], [1916840, 1918265], [1918305, 1922405], [2043980, 2053305], [2100895, 2103195], [2129150, 2130400], [2178740, 2180340], [2213825, 2216300], [2312910, 2314210], [2322445, 2325195], [2582345, 2583845], [2978220, 2979470], [3376370, 3377645], [3402425, 3405550], [3674045, 3678545], [3704975, 3710775], [3711800, 3717450], [3740200, 3742575], [3748815, 3752065], [4020720, 4022545], [4022590, 4026865], [4113215, 4114190], [4119665, 4121865], [4223965, 4225940], [4493180, 4496130], [4672930, 4679855], [4773135, 4778060], [4862885, 4865485], [5057730, 5063980], [5187390, 5189890], [5480060, 5483485], [5489100, 5493150], [5621585, 5624160], [5812660, 5817835], [6144840, 6145965], [6170175, 6172950], [6296660, 6302010], [6677480, 6684080], [6861155, 6864455], [6884745, 6887895], [7011110, 7012460], [7015755, 7017705], [7182130, 7204630], [7287195, 7289970], [7766315, 7768240], [7982825, 7987250], [8002005, 8008505], [8217085, 8219410], [8361930, 8363705], [8445170, 8448345], [8449945, 8460870], [8480595, 8482245]]
